N,K,Agg,ITI,cv
2,0,0,0.501980381384755,0.0682659849792043
2,0,0,0.565434022539563,0.180324401805428
2,0,1,0.506779661016949,0.183241921327186
2,4,0,0.549023626025387,0.103753987845728
2,4,0,0.563960441916708,0.134711428452822
2,4,1,0.552851851851852,0.132548378128815
2,0,0,0.581463389039601,0.15513963941921
2,0,0,0.481940837695821,0.129796453164396
2,0,1,0.474285714285714,0.192896292654602
2,4,0,0.54339200304569,0.129323263790949
2,4,0,0.541712669380255,0.125755073869819
2,4,1,0.532035714285714,0.132267353431185
2,0,0,0.546464845060361,0.117508148765977
2,0,0,0.478927386784866,0.140693365275268
2,0,1,0.485245901639344,0.13177842106483
2,4,0,0.538501227951657,0.132735187761154
2,4,0,0.519628913458263,0.171767537480774
2,4,1,0.528892857142857,0.150476846195923
2,0,0,0.594077574011295,0.153147198355643
2,0,0,0.5045415999251,0.0599642662678613
2,0,1,0.493389830508475,0.157769359074201
2,4,0,0.557894613798329,0.100041951850486
2,4,0,0.536401314055901,0.146659002985696
2,4,1,0.546333333333333,0.113798115577728
2,0,0,0.481404140746164,0.0600089673364135
2,0,0,0.49191961470653,0.163265212489812
2,0,1,0.482786885245902,0.105516871157825
2,4,0,0.518009747121286,0.0610354554651312
2,4,0,0.519105892094355,0.0550106194917185
2,4,1,0.518701754385965,0.0560818250054579
2,0,0,0.514602639657856,0.0626972617513477
2,0,0,0.500701507053773,0.105818175020335
2,0,1,0.506965517241379,0.101466378290237
2,4,0,0.519028123210769,0.112249916571466
2,4,0,0.529412189517816,0.137752558142162
2,4,1,0.529428571428571,0.0609116855243702
2,0,0,0.488762156876833,0.151878148238891
2,0,0,0.487212844202894,0.0563143393051094
2,0,1,0.480754098360656,0.12653037617713
2,4,0,0.500275130089786,0.168873479374201
2,4,0,0.507368536534503,0.122993917248398
2,4,1,0.508965517241379,0.104341004524722
2,0,0,0.459122467473779,0.0622667370200121
